benchmark,threads,gpu_blocks,partition,kernel_time_ms,alloc_time_ms,init_time_ms,dealloc_time_ms
BFS,1,8,dynamic,6.297332,0.135136,112.638527,0.867968
BFS,1,16,dynamic,6.118007,0.119936,111.677917,0.861152
BFS,1,32,dynamic,6.157042,0.12608,111.83651,0.841952
BFS,1,64,dynamic,6.111183,0.12128,116.03418,0.857568
BFS,4,8,dynamic,6.924415,0.125984,112.536957,0.84944
BFS,4,16,dynamic,6.814359,0.116352,112.709312,0.894208
BFS,4,32,dynamic,6.85959,0.132736,113.531906,0.88224
BFS,4,64,dynamic,6.750819,0.130208,112.519203,0.827616
BFS,16,8,dynamic,7.737279,0.1416,114.334595,0.849056
BFS,16,16,dynamic,7.550767,0.118464,114.829506,0.854336
BFS,16,32,dynamic,7.638136,0.125248,126.532738,0.894016
BFS,16,64,dynamic,7.705833,0.151712,112.490051,0.867744
BFS,32,8,dynamic,9.360282,0.123936,111.74147,0.770368
BFS,32,16,dynamic,9.292257,0.127104,115.615295,0.807008
BFS,32,32,dynamic,9.322481,0.127072,113.033058,0.830752
BFS,32,64,dynamic,9.353028,0.119328,112.327492,0.78528
BFS,64,8,dynamic,2396.853027,0.133056,111.577309,0.894816
BFS,64,16,dynamic,2400.372559,0.1248,111.942818,0.849312
BFS,64,32,dynamic,2417.948975,0.12,114.936066,0.848512
BFS,64,64,dynamic,2392.298096,0.135232,113.367645,0.927264
